date,gvkey,weight
2020-04-30,DGX,0.02040816326530612
2020-04-30,LITE,0.02040816326530612
2020-04-30,PCG,0.02040816326530612
2020-04-30,EQT,0.02040816326530612
2020-04-30,DDOG,0.02040816326530612
2020-04-30,GEN,0.02040816326530612
2020-04-30,NOW,0.02040816326530612
2020-04-30,SBAC,0.02040816326530612
2020-04-30,LLY,0.02040816326530612
2020-04-30,SNPS,0.02040816326530612
2020-04-30,AMGN,0.02040816326530612
2020-04-30,EBAY,0.02040816326530612
2020-04-30,AMD,0.02040816326530612
2020-04-30,DXCM,0.02040816326530612
2020-04-30,EPAM,0.02040816326530612
2020-04-30,DLR,0.02040816326530612
2020-04-30,PYPL,0.02040816326530612
2020-04-30,CDNS,0.02040816326530612
2020-04-30,PODD,0.02040816326530612
2020-04-30,AMZN,0.02040816326530612
2020-04-30,KR,0.02040816326530612
2020-04-30,DPZ,0.02040816326530612
2020-04-30,WST,0.02040816326530612
2020-04-30,NVDA,0.02040816326530612
2020-04-30,CLX,0.02040816326530612
2020-04-30,VEEV,0.02040816326530612
2020-04-30,REGN,0.02040816326530612
2020-04-30,GIS,0.02040816326530612
2020-04-30,CRWD,0.02040816326530612
2020-04-30,TSLA,0.02040816326530612
2020-04-30,HUM,0.02040816326530612
2020-04-30,MPWR,0.02040816326530612
2020-04-30,MSCI,0.02040816326530612
2020-04-30,CNC,0.02040816326530612
2020-04-30,MRNA,0.02040816326530612
2020-04-30,TPL,0.02040816326530612
2020-04-30,FFIV,0.02040816326530612
2020-04-30,MSFT,0.02040816326530612
2020-04-30,CMG,0.02040816326530612
2020-04-30,APA,0.02040816326530612
2020-04-30,NFLX,0.02040816326530612
2020-04-30,CVNA,0.02040816326530612
2020-04-30,ADSK,0.02040816326530612
2020-04-30,GILD,0.02040816326530612
2020-04-30,NEM,0.02040816326530612
2020-04-30,IFF,0.02040816326530612
2020-04-30,INCY,0.02040816326530612
2020-04-30,CIEN,0.02040816326530612
2020-04-30,TTD,0.02040816326530612
2020-05-29,SBAC,0.02040816326530612
2020-05-29,AMD,0.02040816326530612
2020-05-29,SNPS,0.02040816326530612
2020-05-29,POOL,0.02040816326530612
2020-05-29,PANW,0.02040816326530612
2020-05-29,AMZN,0.02040816326530612
2020-05-29,FTNT,0.02040816326530612
2020-05-29,HUM,0.02040816326530612
2020-05-29,VEEV,0.02040816326530612
2020-05-29,IDXX,0.02040816326530612
2020-05-29,EQT,0.02040816326530612
2020-05-29,REGN,0.02040816326530612
2020-05-29,DG,0.02040816326530612
2020-05-29,CLX,0.02040816326530612
2020-05-29,NOW,0.02040816326530612
2020-05-29,LOW,0.02040816326530612
2020-05-29,TTWO,0.02040816326530612
2020-05-29,TSCO,0.02040816326530612
2020-05-29,GEN,0.02040816326530612
2020-05-29,VRT,0.02040816326530612
2020-05-29,CDNS,0.02040816326530612
2020-05-29,PYPL,0.02040816326530612
2020-05-29,DDOG,0.02040816326530612
2020-05-29,NDSN,0.02040816326530612
2020-05-29,CRWD,0.02040816326530612
2020-05-29,TECH,0.02040816326530612
2020-05-29,NEM,0.02040816326530612
2020-05-29,CIEN,0.02040816326530612
2020-05-29,LULU,0.02040816326530612
2020-05-29,CRL,0.02040816326530612
2020-05-29,GIS,0.02040816326530612
2020-05-29,TSLA,0.02040816326530612
2020-05-29,WSM,0.02040816326530612
2020-05-29,VRTX,0.02040816326530612
2020-05-29,DPZ,0.02040816326530612
2020-05-29,SPGI,0.02040816326530612
2020-05-29,MRNA,0.02040816326530612
2020-05-29,DXCM,0.02040816326530612
2020-05-29,COHR,0.02040816326530612
2020-05-29,MPWR,0.02040816326530612
2020-05-29,ODFL,0.02040816326530612
2020-05-29,CCI,0.02040816326530612
2020-05-29,EBAY,0.02040816326530612
2020-05-29,NVDA,0.02040816326530612
2020-05-29,WST,0.02040816326530612
2020-05-29,MNST,0.02040816326530612
2020-05-29,CMG,0.02040816326530612
2020-05-29,TYL,0.02040816326530612
2020-05-29,EA,0.02040816326530612
2020-06-30,MPWR,0.02040816326530612
2020-06-30,TSLA,0.02040816326530612
2020-06-30,XYZ,0.02040816326530612
2020-06-30,TER,0.02040816326530612
2020-06-30,MCHP,0.02040816326530612
2020-06-30,MRNA,0.02040816326530612
2020-06-30,TRGP,0.02040816326530612
2020-06-30,CRWD,0.02040816326530612
2020-06-30,CMG,0.02040816326530612
2020-06-30,CLX,0.02040816326530612
2020-06-30,MSFT,0.02040816326530612
2020-06-30,VEEV,0.02040816326530612
2020-06-30,RMD,0.02040816326530612
2020-06-30,ADBE,0.02040816326530612
2020-06-30,AAPL,0.02040816326530612
2020-06-30,FCX,0.02040816326530612
2020-06-30,TSCO,0.02040816326530612
2020-06-30,COHR,0.02040816326530612
2020-06-30,NVDA,0.02040816326530612
2020-06-30,WST,0.02040816326530612
2020-06-30,ALGN,0.02040816326530612
2020-06-30,CDNS,0.02040816326530612
2020-06-30,LEN,0.02040816326530612
2020-06-30,WSM,0.02040816326530612
2020-06-30,DXCM,0.02040816326530612
2020-06-30,EBAY,0.02040816326530612
2020-06-30,EFX,0.02040816326530612
2020-06-30,SNPS,0.02040816326530612
2020-06-30,AMZN,0.02040816326530612
2020-06-30,APA,0.02040816326530612
2020-06-30,TTD,0.02040816326530612
2020-06-30,NEM,0.02040816326530612
2020-06-30,IDXX,0.02040816326530612
2020-06-30,ADSK,0.02040816326530612
2020-06-30,NFLX,0.02040816326530612
2020-06-30,CVNA,0.02040816326530612
2020-06-30,DHI,0.02040816326530612
2020-06-30,EQT,0.02040816326530612
2020-06-30,LULU,0.02040816326530612
2020-06-30,LRCX,0.02040816326530612
2020-06-30,DDOG,0.02040816326530612
2020-06-30,NOW,0.02040816326530612
2020-06-30,LOW,0.02040816326530612
2020-06-30,VRT,0.02040816326530612
2020-06-30,AXON,0.02040816326530612
2020-06-30,REGN,0.02040816326530612
2020-06-30,BBY,0.02040816326530612
2020-06-30,POOL,0.02040816326530612
2020-06-30,PYPL,0.02040816326530612
2020-07-31,NEM,0.02040816326530612
2020-07-31,TER,0.02040816326530612
2020-07-31,DHI,0.02040816326530612
2020-07-31,CVNA,0.02040816326530612
2020-07-31,CRWD,0.02040816326530612
2020-07-31,CIEN,0.02040816326530612
2020-07-31,PHM,0.02040816326530612
2020-07-31,CSGP,0.02040816326530612
2020-07-31,LOW,0.02040816326530612
2020-07-31,EBAY,0.02040816326530612
2020-07-31,DDOG,0.02040816326530612
2020-07-31,LRCX,0.02040816326530612
2020-07-31,QCOM,0.02040816326530612
2020-07-31,WY,0.02040816326530612
2020-07-31,LULU,0.02040816326530612
2020-07-31,CHD,0.02040816326530612
2020-07-31,DELL,0.02040816326530612
2020-07-31,DXCM,0.02040816326530612
2020-07-31,SWKS,0.02040816326530612
2020-07-31,ROL,0.02040816326530612
2020-07-31,CHRW,0.02040816326530612
2020-07-31,REGN,0.02040816326530612
2020-07-31,FCX,0.02040816326530612
2020-07-31,AMD,0.02040816326530612
2020-07-31,TTD,0.02040816326530612
2020-07-31,POOL,0.02040816326530612
2020-07-31,RVTY,0.02040816326530612
2020-07-31,WST,0.02040816326530612
2020-07-31,VEEV,0.02040816326530612
2020-07-31,MRNA,0.02040816326530612
2020-07-31,GLW,0.02040816326530612
2020-07-31,COHR,0.02040816326530612
2020-07-31,IDXX,0.02040816326530612
2020-07-31,AAPL,0.02040816326530612
2020-07-31,MPWR,0.02040816326530612
2020-07-31,NVDA,0.02040816326530612
2020-07-31,TSCO,0.02040816326530612
2020-07-31,EQT,0.02040816326530612
2020-07-31,CRL,0.02040816326530612
2020-07-31,AMZN,0.02040816326530612
2020-07-31,TSLA,0.02040816326530612
2020-07-31,CDNS,0.02040816326530612
2020-07-31,XYZ,0.02040816326530612
2020-07-31,GNRC,0.02040816326530612
2020-07-31,CLX,0.02040816326530612
2020-07-31,UPS,0.02040816326530612
2020-07-31,FIX,0.02040816326530612
2020-07-31,FSLR,0.02040816326530612
2020-07-31,PYPL,0.02040816326530612
2020-08-31,BBY,0.02040816326530612
2020-08-31,VEEV,0.02040816326530612
2020-08-31,FDX,0.02040816326530612
2020-08-31,UPS,0.02040816326530612
2020-08-31,FSLR,0.02040816326530612
2020-08-31,EQT,0.02040816326530612
2020-08-31,BLDR,0.02040816326530612
2020-08-31,WDAY,0.02040816326530612
2020-08-31,AMZN,0.02040816326530612
2020-08-31,AMD,0.02040816326530612
2020-08-31,POOL,0.02040816326530612
2020-08-31,FCX,0.02040816326530612
2020-08-31,SNPS,0.02040816326530612
2020-08-31,ODFL,0.02040816326530612
2020-08-31,QCOM,0.02040816326530612
2020-08-31,EPAM,0.02040816326530612
2020-08-31,ROL,0.02040816326530612
2020-08-31,JBHT,0.02040816326530612
2020-08-31,PYPL,0.02040816326530612
2020-08-31,TTD,0.02040816326530612
2020-08-31,GNRC,0.02040816326530612
2020-08-31,LOW,0.02040816326530612
2020-08-31,DE,0.02040816326530612
2020-08-31,NOW,0.02040816326530612
2020-08-31,TTWO,0.02040816326530612
2020-08-31,LULU,0.02040816326530612
2020-08-31,DDOG,0.02040816326530612
2020-08-31,ADBE,0.02040816326530612
2020-08-31,TGT,0.02040816326530612
2020-08-31,CRM,0.02040816326530612
2020-08-31,CRWD,0.02040816326530612
2020-08-31,TSLA,0.02040816326530612
2020-08-31,XYZ,0.02040816326530612
2020-08-31,CVNA,0.02040816326530612
